Effect,dropoff_time,pickup_location_id,dropoff_location_id,Estimate,Stderrpred,DF,Tvalue,Probt
PICKUP_LOCATION_ID,_,P36,,0.03366,0.009973,249.5,3.38,0.0009
PICKUP_LOCATION_ID,_,P37,,0.167,0.01162,380.2,14.37,0.0001
PICKUP_LOCATION_ID,_,P38,,-0.00522,0.01065,302.8,-0.49,0.6244
PICKUP_LOCATION_ID,_,P39,,0.02252,0.01037,280.3,2.17,0.0307
PICKUP_LOCATION_ID,_,P4,,0.02511,0.009562,218.5,2.63,0.0093
PICKUP_LOCATION_ID,_,P40,,-0.01274,0.01031,275.8,-1.24,0.2177
PICKUP_LOCATION_ID,_,P41,,-0.08325,0.03386,72.62,-2.46,0.0163
PICKUP_LOCATION_ID,_,P42,,0.01245,0.009388,205.5,1.33,0.1862
PICKUP_LOCATION_ID,_,P43,,0.005729,0.01064,302.4,0.54,0.5908
PICKUP_LOCATION_ID,_,P44,,-0.00284,0.01159,376.2,-0.25,0.8064
PICKUP_LOCATION_ID,_,P45,,-0.0066,0.01036,279.9,-0.64,0.5245
PICKUP_LOCATION_ID,_,P46,,-0.00961,0.01138,360.3,-0.84,0.3989
PICKUP_LOCATION_ID,_,P47,,-0.07259,0.02085,366.8,-3.48,0.0006
PICKUP_LOCATION_ID,_,P48,,0.004119,0.01021,267.7,0.4,0.6868
PICKUP_LOCATION_ID,_,P49,,0.0362,0.009419,207.9,3.84,0.0002
PICKUP_LOCATION_ID,_,P5,,-0.048,0.0195,423.7,-2.46,0.0142
PICKUP_LOCATION_ID,_,P50,,-0.00239,0.00962,222.5,-0.25,0.8039
PICKUP_LOCATION_ID,_,P6,,0.002511,0.01047,288.4,0.24,0.8106
PICKUP_LOCATION_ID,_,P7,,-0.00946,0.01023,269.7,-0.92,0.356
PICKUP_LOCATION_ID,_,P8,,-0.0031,0.01387,508.6,-0.22,0.823
PICKUP_LOCATION_ID,_,P9,,0.04155,0.009207,192.7,4.51,0.0001
DROPOFF_LOCATION_ID,_,,D1,-0.04991,0.01345,199.9,-3.71,0.0003
DROPOFF_LOCATION_ID,_,,D10,0.00856,0.01143,109.4,0.75,0.4557
DROPOFF_LOCATION_ID,_,,D11,-0.02656,0.0127,162.3,-2.09,0.0381
DROPOFF_LOCATION_ID,_,,D12,-0.04014,0.01288,171,-3.12,0.0021
DROPOFF_LOCATION_ID,_,,D13,-0.05282,0.01767,461.7,-2.99,0.0029
DROPOFF_LOCATION_ID,_,,D14,-0.00992,0.01254,154.7,-0.79,0.4299
DROPOFF_LOCATION_ID,_,,D15,-0.1159,0.03679,328.5,-3.15,0.0018
DROPOFF_LOCATION_ID,_,,D16,-0.03693,0.01231,144.7,-3,0.0032
DROPOFF_LOCATION_ID,_,,D17,-0.02001,0.01192,127.9,-1.68,0.0955
DROPOFF_LOCATION_ID,_,,D18,-0.02859,0.01325,189.2,-2.16,0.0322
DROPOFF_LOCATION_ID,_,,D19,-0.04143,0.01231,144.4,-3.37,0.001
DROPOFF_LOCATION_ID,_,,D2,-0.02144,0.02065,609.2,-1.04,0.2994
DROPOFF_LOCATION_ID,_,,D20,-0.019,0.01244,150.1,-1.53,0.1286
DROPOFF_LOCATION_ID,_,,D21,-0.03398,0.01181,124,-2.88,0.0047
DROPOFF_LOCATION_ID,_,,D22,-0.02547,0.01232,145,-2.07,0.0404
DROPOFF_LOCATION_ID,_,,D23,0.0776,0.01337,195.5,5.81,0.0001
DROPOFF_LOCATION_ID,_,,D24,0.1471,0.01934,559.2,7.6,0.0001
DROPOFF_LOCATION_ID,_,,D25,-0.00241,0.01361,208.3,-0.18,0.8593
DROPOFF_LOCATION_ID,_,,D26,0.04713,0.01933,559.7,2.44,0.0151
DROPOFF_LOCATION_ID,_,,D27,0.1372,0.01331,192.5,10.31,0.0001
DROPOFF_LOCATION_ID,_,,D28,0.02997,0.01134,106,2.64,0.0095
DROPOFF_LOCATION_ID,_,,D29,0.005018,0.01229,143.5,0.41,0.6836
DROPOFF_LOCATION_ID,_,,D3,-0.01578,0.01183,124.8,-1.33,0.1849
DROPOFF_LOCATION_ID,_,,D30,-0.02317,0.01282,167.9,-1.81,0.0725
DROPOFF_LOCATION_ID,_,,D31,-0.03837,0.01211,136.2,-3.17,0.0019
DROPOFF_LOCATION_ID,_,,D32,-0.02994,0.01239,148.1,-2.42,0.0169
DROPOFF_LOCATION_ID,_,,D33,-0.02478,0.01349,201.6,-1.84,0.0677
DROPOFF_LOCATION_ID,_,,D34,-0.01662,0.01236,146.7,-1.34,0.1808
DROPOFF_LOCATION_ID,_,,D35,0.1167,0.01522,302.8,7.66,0.0001
DROPOFF_LOCATION_ID,_,,D36,-0.05204,0.0125,153.2,-4.16,0.0001
DROPOFF_LOCATION_ID,_,,D37,-0.05208,0.01395,226.9,-3.73,0.0002
DROPOFF_LOCATION_ID,_,,D38,0.007521,0.01136,106.8,0.66,0.5095
DROPOFF_LOCATION_ID,_,,D39,0.07106,0.02715,637.2,2.62,0.0091
DROPOFF_LOCATION_ID,_,,D4,-0.07888,0.0133,191.9,-5.93,0.0001
DROPOFF_LOCATION_ID,_,,D40,-0.02549,0.01229,143.7,-2.07,0.0399
DROPOFF_LOCATION_ID,_,,D41,0.0964,0.01933,558.3,4.99,0.0001
DROPOFF_LOCATION_ID,_,,D42,0.009449,0.02092,629.6,0.45,0.6517
DROPOFF_LOCATION_ID,_,,D43,-0.01332,0.01217,138.4,-1.09,0.2756
DROPOFF_LOCATION_ID,_,,D44,0.07784,0.01513,297.4,5.14,0.0001
DROPOFF_LOCATION_ID,_,,D45,-0.03574,0.01207,134.3,-2.96,0.0036
DROPOFF_LOCATION_ID,_,,D46,0.02909,0.01128,103.8,2.58,0.0113
DROPOFF_LOCATION_ID,_,,D47,-0.1221,0.01612,360.9,-7.57,0.0001
DROPOFF_LOCATION_ID,_,,D48,-0.02174,0.01272,163.6,-1.71,0.0894
DROPOFF_LOCATION_ID,_,,D49,0.002564,0.01267,161.1,0.2,0.8398
DROPOFF_LOCATION_ID,_,,D5,0.1955,0.01473,273,13.27,0.0001
DROPOFF_LOCATION_ID,_,,D50,-0.02966,0.01241,149.1,-2.39,0.0181
DROPOFF_LOCATION_ID,_,,D6,-0.02559,0.01294,173.6,-1.98,0.0495
DROPOFF_LOCATION_ID,_,,D7,-0.01261,0.01224,141.4,-1.03,0.3047
DROPOFF_LOCATION_ID,_,,D8,0.04218,0.01148,111,3.68,0.0004
DROPOFF_LOCATION_ID,_,,D9,0.04157,0.01828,499.4,2.27,0.0234
DROPOFF_TIME,0,,,-0.02328,0.01217,38.85,-1.91,0.0632
DROPOFF_TIME,1,,,-0.02488,0.0127,45.67,-1.96,0.0563
DROPOFF_TIME,2,,,-0.0502,0.01348,56.73,-3.72,0.0005
DROPOFF_TIME,3,,,-0.06982,0.01427,69.32,-4.89,0.0001
DROPOFF_TIME,4,,,-0.08381,0.01605,100.9,-5.22,0.0001
DROPOFF_TIME,5,,,-0.08951,0.01715,121.2,-5.22,0.0001
DROPOFF_TIME,6,,,-0.1091,0.01402,65.2,-7.78,0.0001
DROPOFF_TIME,7,,,-0.0444,0.01252,43.22,-3.55,0.001
DROPOFF_TIME,8,,,0.008275,0.01208,37.72,0.69,0.4974
DROPOFF_TIME,9,,,0.02339,0.01196,36.29,1.96,0.0582
DROPOFF_TIME,10,,,0.03242,0.01213,38.32,2.67,0.011
DROPOFF_TIME,11,,,0.02937,0.01216,38.75,2.41,0.0206
DROPOFF_TIME,12,,,0.04405,0.01207,37.59,3.65,0.0008
DROPOFF_TIME,13,,,0.03979,0.01213,38.31,3.28,0.0022
DROPOFF_TIME,14,,,0.04059,0.01207,37.68,3.36,0.0018
DROPOFF_TIME,15,,,0.04438,0.01216,38.75,3.65,0.0008
DROPOFF_TIME,16,,,0.05896,0.01238,41.38,4.76,0.0001
DROPOFF_TIME,17,,,0.05752,0.01222,39.42,4.71,0.0001
DROPOFF_TIME,18,,,0.05314,0.01175,33.95,4.52,0.0001
DROPOFF_TIME,19,,,0.04369,0.01162,32.46,3.76,0.0007
DROPOFF_TIME,20,,,0.009672,0.01166,32.94,0.83,0.4128
DROPOFF_TIME,21,,,0.01063,0.01169,33.23,0.91,0.3695
DROPOFF_TIME,22,,,-0.00139,0.01174,33.78,-0.12,0.9064
DROPOFF_TIME,23,,,0.000547,0.01187,35.33,0.05,0.9635
